Kanji;Kana;Romaji;Translation;Part of Speech;Translation RU
前進;ぜんしん;zenshin;advance, drive, progress;Noun, Suru verb, Intransitive verb;продвигаться, ездить, прогресс
全身;ぜんしん;zenshin;whole (body), full-length;Noun, Noun which may take the genitive case particle 'no';ВСЕ (тело), ​​полная длина
全体;ぜんたい;zentai;whole, entirety;Noun, Noun which may take the genitive case particle 'no', Adverb (fukushi);целый, полностью
絶対;ぜったい;zettai;absolutely;Adverb (fukushi);абсолютно
絶滅;ぜつめつ;zetsumetsu;destruction, exinction;Noun, Suru verb;разрушение, вымирание
象;ぞう;zou;elephant;Noun;слон
増加;ぞうか;zouka;increase;Noun, Suru verb, Transitive verb, Intransitive verb;увеличивать
図;ず;zu;drawing, picture, diagram;Noun, Noun, used as a suffix;Рисунок, изображение, диаграмма
随分;ずいぶん;zuibun;very, extremely;Adverb (fukushi), Adverb taking the 'to' particle;очень, очень
頭痛;ずつう;zutsuu;headache;Noun;головная боль


柄 | がら | gara | pattern, design | шаблон, дизайн
生 | なま | nama | raw, uncooked | сырой, сырой
盛り | さかり | sakari | peak, height | расцвет; разгар
